seq,court,courtCode,title,rocYear,adYear,caseWord,caseNum,caseType,docType,rocDate,adDate,reason,size,judgmentId
159,臺灣新北地方法院,PCD,臺灣新北地方法院 111 年度 聲 字第 2309 號刑事裁定,111,2022,聲,2309,刑事,裁定,111.11.11,2022-11-11,限制檢閱營業秘密,,"PCDM,111,聲,2309,20221111,1"
160,臺灣新北地方法院,PCD,臺灣新北地方法院 109 年度 智訴 字第 6 號刑事裁定,109,2020,智訴,6,刑事,裁定,110.12.09,2021-12-09,營業秘密法等,,"PCDM,109,智訴,6,20211209,3"
161,臺灣新北地方法院,PCD,臺灣新北地方法院 109 年度 智訴 字第 6 號刑事裁定,109,2020,智訴,6,刑事,裁定,110.04.15,2021-04-15,營業秘密法等,,"PCDM,109,智訴,6,20210415,2"
162,臺灣新北地方法院,PCD,臺灣新北地方法院 104 年度 智訴 字第 17 號刑事判決,104,2015,智訴,17,刑事,判決,109.12.18,2020-12-18,營業秘密法等,,"PCDM,104,智訴,17,20201218,6"
163,臺灣新北地方法院,PCD,臺灣新北地方法院 104 年度 智訴 字第 17 號刑事裁定,104,2015,智訴,17,刑事,裁定,109.10.15,2020-10-15,營業秘密法等,,"PCDM,104,智訴,17,20201015,5"
164,臺灣新北地方法院,PCD,臺灣新北地方法院 109 年度 智訴 字第 6 號刑事裁定,109,2020,智訴,6,刑事,裁定,109.08.10,2020-08-10,營業秘密法等,,"PCDM,109,智訴,6,20200810,1"
165,臺灣新北地方法院,PCD,臺灣新北地方法院 108 年度 智訴 字第 20 號刑事判決,108,2019,智訴,20,刑事,判決,109.06.04,2020-06-04,營業秘密法,,"PCDM,108,智訴,20,20200604,3"
166,臺灣新北地方法院,PCD,臺灣新北地方法院 108 年度 智訴 字第 20 號刑事裁定,108,2019,智訴,20,刑事,裁定,109.04.13,2020-04-13,營業秘密法,,"PCDM,108,智訴,20,20200413,2"
167,臺灣新北地方法院,PCD,臺灣新北地方法院 108 年度 智重附民 字第 1 號刑事裁定,108,2019,智重附民,1,刑事,裁定,109.02.12,2020-02-12,營業秘密法等,,"PCDM,108,智重附民,1,20200212,1"
168,臺灣新北地方法院,PCD,臺灣新北地方法院 107 年度 智訴 字第 9 號刑事裁定,107,2018,智訴,9,刑事,裁定,109.02.12,2020-02-12,營業秘密法等,,"PCDM,107,智訴,9,20200212,3"
169,臺灣新北地方法院,PCD,臺灣新北地方法院 107 年度 智訴 字第 9 號刑事裁定,107,2018,智訴,9,刑事,裁定,109.02.12,2020-02-12,營業秘密法等,,"PCDM,107,智訴,9,20200212,2"
170,臺灣新北地方法院,PCD,臺灣新北地方法院 107 年度 智訴 字第 9 號刑事判決,107,2018,智訴,9,刑事,判決,109.02.12,2020-02-12,營業秘密法等,,"PCDM,107,智訴,9,20200212,1"
171,臺灣新北地方法院,PCD,臺灣新北地方法院 108 年度 智訴 字第 20 號刑事裁定,108,2019,智訴,20,刑事,裁定,109.01.08,2020-01-08,營業秘密法,,"PCDM,108,智訴,20,20200108,1"
172,臺灣新北地方法院,PCD,臺灣新北地方法院 104 年度 智訴 字第 17 號刑事裁定,104,2015,智訴,17,刑事,裁定,108.02.11,2019-02-11,營業秘密法等,,"PCDM,104,智訴,17,20190211,4"
173,臺灣新北地方法院,PCD,臺灣新北地方法院 106 年度 智訴 字第 2 號刑事判決,106,2017,智訴,2,刑事,判決,107.12.27,2018-12-27,營業秘密法等,,"PCDM,106,智訴,2,20181227,1"
174,臺灣新北地方法院,PCD,臺灣新北地方法院 107 年度 智訴 字第 2 號刑事判決,107,2018,智訴,2,刑事,判決,107.10.09,2018-10-09,營業秘密法,,"PCDM,107,智訴,2,20181009,1"
175,臺灣新北地方法院,PCD,臺灣新北地方法院 104 年度 智訴 字第 17 號刑事裁定,104,2015,智訴,17,刑事,裁定,107.09.07,2018-09-07,營業秘密法等,,"PCDM,104,智訴,17,20180907,3"
176,臺灣新北地方法院,PCD,臺灣新北地方法院 104 年度 智訴 字第 17 號刑事裁定,104,2015,智訴,17,刑事,裁定,107.08.06,2018-08-06,營業秘密法等,,"PCDM,104,智訴,17,20180806,2"
177,臺灣新北地方法院,PCD,臺灣新北地方法院 104 年度 智訴 字第 17 號刑事裁定,104,2015,智訴,17,刑事,裁定,107.07.20,2018-07-20,營業秘密法等,,"PCDM,104,智訴,17,20180720,1"
178,臺灣新北地方法院,PCD,臺灣新北地方法院 105 年度 智訴 字第 10 號刑事判決,105,2016,智訴,10,刑事,判決,106.08.29,2017-08-29,營業秘密法等,,"PCDM,105,智訴,10,20170829,1"
179,臺灣新北地方法院,PCD,臺灣新北地方法院 105 年度 智訴 字第 8 號刑事判決,105,2016,智訴,8,刑事,判決,105.12.21,2016-12-21,營業秘密法,,"PCDM,105,智訴,8,20161221,1"
180,臺灣新北地方法院,PCD,臺灣新北地方法院 104 年度 智訴 字第 11 號刑事判決,104,2015,智訴,11,刑事,判決,104.09.30,2015-09-30,營業秘密法,,"PCDM,104,智訴,11,20150930,1"
181,臺灣新北地方法院,PCD,臺灣新北地方法院 103 年度 訴 字第 796 號刑事判決,103,2014,訴,796,刑事,判決,103.12.19,2014-12-19,營業秘密法等,,"PCDM,103,訴,796,20141219,1"
182,臺灣桃園地方法院,TYD,臺灣桃園地方法院 111 年度 智重訴 字第 7 號刑事判決,111,2022,智重訴,7,刑事,判決,115.01.19,2026-01-19,違反營業秘密法等,,"TYDM,111,智重訴,7,20260119,10"
183,臺灣桃園地方法院,TYD,臺灣桃園地方法院 111 年度 智重訴 字第 7 號刑事裁定,111,2022,智重訴,7,刑事,裁定,114.09.11,2025-09-11,違反營業秘密法等,,"TYDM,111,智重訴,7,20250911,9"
184,臺灣桃園地方法院,TYD,臺灣桃園地方法院 111 年度 智重訴 字第 6 號刑事裁定,111,2022,智重訴,6,刑事,裁定,114.08.08,2025-08-08,違反營業秘密法等,,"TYDM,111,智重訴,6,20250808,9"
185,臺灣桃園地方法院,TYD,臺灣桃園地方法院 111 年度 智重訴 字第 7 號刑事裁定,111,2022,智重訴,7,刑事,裁定,114.01.06,2025-01-06,違反營業秘密法等,,"TYDM,111,智重訴,7,20250106,8"
186,臺灣桃園地方法院,TYD,臺灣桃園地方法院 111 年度 智重訴 字第 6 號刑事裁定,111,2022,智重訴,6,刑事,裁定,113.12.06,2024-12-06,違反營業秘密法等,,"TYDM,111,智重訴,6,20241206,8"
187,臺灣桃園地方法院,TYD,臺灣桃園地方法院 112 年度 智重訴 字第 2 號刑事判決,112,2023,智重訴,2,刑事,判決,113.07.30,2024-07-30,違反營業秘密法,,"TYDM,112,智重訴,2,20240730,1"
188,臺灣桃園地方法院,TYD,臺灣桃園地方法院 111 年度 智重訴 字第 5 號刑事裁定,111,2022,智重訴,5,刑事,裁定,113.06.19,2024-06-19,違反營業秘密法,,"TYDM,111,智重訴,5,20240619,4"
189,臺灣桃園地方法院,TYD,臺灣桃園地方法院 109 年度 智訴 字第 2 號刑事判決,109,2020,智訴,2,刑事,判決,113.06.17,2024-06-17,違反營業秘密法等,,"TYDM,109,智訴,2,20240617,8"
190,臺灣桃園地方法院,TYD,臺灣桃園地方法院 112 年度 審智重訴 字第 3 號刑事裁定,112,2023,審智重訴,3,刑事,裁定,113.05.22,2024-05-22,違反營業秘密法等,,"TYDM,112,審智重訴,3,20240522,1"
191,臺灣桃園地方法院,TYD,臺灣桃園地方法院 111 年度 智重訴 字第 6 號刑事裁定,111,2022,智重訴,6,刑事,裁定,113.04.12,2024-04-12,違反營業秘密法等,,"TYDM,111,智重訴,6,20240412,7"
192,臺灣桃園地方法院,TYD,臺灣桃園地方法院 111 年度 智訴 字第 2 號刑事判決,111,2022,智訴,2,刑事,判決,113.03.21,2024-03-21,違反營業秘密法等,,"TYDM,111,智訴,2,20240321,1"
193,臺灣桃園地方法院,TYD,臺灣桃園地方法院 106 年度 智訴 字第 6 號刑事裁定,106,2017,智訴,6,刑事,裁定,112.11.29,2023-11-29,違反營業秘密法等,,"TYDM,106,智訴,6,20231129,5"
194,臺灣桃園地方法院,TYD,臺灣桃園地方法院 106 年度 智訴 字第 6 號刑事判決,106,2017,智訴,6,刑事,判決,112.11.29,2023-11-29,違反營業秘密法等,,"TYDM,106,智訴,6,20231129,4"
195,臺灣桃園地方法院,TYD,臺灣桃園地方法院 111 年度 智重訴 字第 7 號刑事裁定,111,2022,智重訴,7,刑事,裁定,112.11.13,2023-11-13,違反營業秘密法等,,"TYDM,111,智重訴,7,20231113,6"
196,臺灣桃園地方法院,TYD,臺灣桃園地方法院 111 年度 智重訴 字第 6 號刑事裁定,111,2022,智重訴,6,刑事,裁定,112.11.13,2023-11-13,違反營業秘密法等,,"TYDM,111,智重訴,6,20231113,6"
197,臺灣桃園地方法院,TYD,臺灣桃園地方法院 111 年度 智重訴 字第 7 號刑事裁定,111,2022,智重訴,7,刑事,裁定,112.09.19,2023-09-19,違反營業秘密法等,,"TYDM,111,智重訴,7,20230919,4"
198,臺灣桃園地方法院,TYD,臺灣桃園地方法院 111 年度 智重訴 字第 6 號刑事裁定,111,2022,智重訴,6,刑事,裁定,112.08.14,2023-08-14,違反營業秘密法等,,"TYDM,111,智重訴,6,20230814,4"
199,臺灣桃園地方法院,TYD,臺灣桃園地方法院 110 年度 智訴 字第 4 號刑事判決,110,2021,智訴,4,刑事,判決,112.06.26,2023-06-26,違反營業秘密法,,"TYDM,110,智訴,4,20230626,2"
200,臺灣桃園地方法院,TYD,臺灣桃園地方法院 109 年度 智訴 字第 2 號刑事裁定,109,2020,智訴,2,刑事,裁定,112.06.14,2023-06-14,違反營業秘密法等,,"TYDM,109,智訴,2,20230614,3"
201,臺灣桃園地方法院,TYD,臺灣桃園地方法院 109 年度 智訴 字第 2 號刑事裁定,109,2020,智訴,2,刑事,裁定,112.06.14,2023-06-14,違反營業秘密法等,,"TYDM,109,智訴,2,20230614,7"
